Gene,both_M1M2
ARID2,-0.00228517694243284
ARID3A,-0.00480983398635493
ARID3B,-0.0106295217797978
ARID4A,0.00229162459634727
ARID4B,-0.00394146967222663
ARID5A,-0.00610854132120331
ARID5B,-0.0114738430910831
ARIH1,-0.00263722138328024
ARIH2,-0.00111651208757983
ARIH2OS,-0.0122387374337007
ARL1,0.00361646254369505
ARL10,0.00458764395635691
ARL11,0.00152804155155334
ARL13B,0
ARL14EP,-0.00173315031924088
ARL15,0.00543305335556475
ARL16,0.00308814603369846
ARL17A,0.00200973611774842
ARL17B,-0.00260913431966716
ARL2,-0.00102828692073387
ARL2BP,0.000944750209537618
ARL3,0.0044509782525554
ARL4A,-0.0083627039740396
ARL4C,0.0183507567116955
ARL4D,-0.00315404437117892
ARL5A,0.00756512382983925
ARL5B,-0.00691902150857353
ARL6,-0.000945607653096901
ARL6IP1,0.00405008974386374
ARL6IP4,0.00442498196500839
ARL6IP5,-0.00112359676398466
ARL6IP6,-0.00377605237664669
ARL8A,-0.00279543779098769
ARL8B,-0.00104754958213467
ARMC1,0.00554927203816326
ARMC10,0.00114361220742496
ARMC2,0.00504093905231277
ARMC5,-0.00507575341622891
ARMC6,0.00725850242975335
ARMC7,0.00360647833494435
ARMC8,-0.00319059413544952
ARMC9,0
ARMCX1,-0.0015306022991633
ARMCX2,-0.0129335199798605
ARMCX3,0.00124915180684353
ARMCX4,0.00239489862812809
ARMCX5,0.00450228269719646
ARMCX6,0.00206046491953089
ARNT,0.00138469919298665
ARNT2,-0.00904705268688798
ARNTL,-0.00129493483416853
ARNTL2,-0.00967473570134797
ARPC1A,0
ARPC1B,0.00437312873792971
ARPC2,0.00134360805245829
ARPC3,0.00155783515211115
ARPC4,0.00413364011192103
ARPC5,0.00407309697317432
ARPC5L,0.00200505105724931
ARR3,-0.0029539760956167
ARRB1,0.00329399437454697
ARRB2,0.00183703594286193
ARRDC1,-0.0029555509743658
ARRDC2,-0.00350275239387662
ARRDC3,0.00192105132929345
ARRDC4,0.0168253080549897
ARRDC5,-0.012979331168277
ARSA,-0.0045007019601834
ARSB,-6.97377337183992E-06
ARSD,-0.00451407232178494
ARSF,-0.00796009143087115
ARSG,0
ARSI,-0.00301181450017958
ARSK,0
ART3,-0.0183920400192192
ART5,-0.00438934818394183
ARTN,-0.00874087831315978
ARV1,0.009247401990251
ARVCF,0.00629655291445197
ASAH1,0.00423137874905815
ASAH2,-0.0187728673213083
ASAH2B,-0.0110477499488223
ASAP1,0
ASAP2,-0.00916543813334391
ASAP3,-0.0196967108979423
ASB1,0.000217167900565453
ASB11,0
ASB12,-0.00677521909126149
ASB13,0.00538578055552728
ASB14,0
ASB16,-0.00289914791250014
ASB2,0.00118824317012629
ASB4,-0.0114119702207304
ASB6,-0.000853832128861816
ASB7,-0.00317101780951216
ASB8,0.00165629421156488
ASB9,0.000679499205622278
ASCC1,-0.00224326765430505
ASCC2,0.00154759232753694
ASCC3,0.00133418091375483
ASCL1,0.00724154923996145
ASCL2,-0.0253183085095231
ASF1A,0
ASF1B,0.00134265964833639
ASGR1,0.00211781674983823
ASGR2,0.0101175696723714
ASH1L,-0.00256201617805292
ASH2L,0.0019386424227364
ASIC1,0.0201002288340476
ASIC2,-0.00352991187151784
ASIC3,-0.00202602722871524
ASIP,0.00713720615010447
ASL,0.00554251287082277
ASMTL,-0.00497395764891027
ASNS,-0.0186352260556164
ASNSD1,-0.000249732640421175
ASPDH,0
ASPH,0.00985373795149792
ASPHD1,0.0162576505153768
ASPHD2,-0.0208221752409792
ASPM,0.0293069649611867
ASPRV1,-0.00357582545077708
ASPSCR1,0.00367255931678615
ASRGL1,0.00638353240455669
ASS1,-0.0223511527968866
ASTE1,0.00430390702340768
ASTL,0
ASTN2,0.0109520699056235
ASXL1,0
ASXL2,0
ATAD1,0.00164914786696086
ATAD2,0.00445089637963641
ATAD2B,0.000308946377365294
ATAD3A,0.00792277184086765
ATAD3B,0.00742439187515448
ATAD3C,0.00219250605842584
ATAD5,0.00150945445550938
ATAT1,0.00420491524110738
